0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,2,2,3,4,5,6,7,8,9,10,11,12,13,14,15,15,16,17,18,19,3,3,4,5,6,7,8,9,9,10,11,12,13,14,15,16,17,18,19,20,4,4,5,6,7,8,9,10,10,11,12,12,13,14,15,16,17,18,19,20,5,5,5,6,7,8,9,10,11,12,13,13,14,15,16,17,18,19,20,21,6,6,6,7,8,9,10,11,11,12,13,14,15,16,17,18,19,20,21,22,7,7,7,8,9,10,11,12,12,12,13,14,15,16,17,18,19,20,21,22,8,8,8,9,10,11,12,13,13,13,14,15,16,17,18,18,19,20,21,22,9,9,9,10,11,12,13,14,14,14,15,16,17,18,19,19,19,20,21,22,10,10,10,11,12,13,14,15,15,15,16,17,18,19,20,20,20,21,22,22,11,11,11,12,13,14,14,15,16,16,17,18,19,20,21,21,21,22,23,23,12,12,12,12,13,14,15,16,16,17,17,18,19,20,21,22,22,23,24,24,13,13,13,13,14,15,16,17,17,18,18,19,20,21,22,23,23,24,25,25,14,14,14,14,15,16,16,17,18,19,19,20,21,22,23,24,24,25,25,26,15,15,15,15,16,17,17,18,19,20,20,21,22,23,24,25,25,26,26,27,16,16,16,16,17,18,18,18,19,20,21,22,22,23,24,25,26,27,27,28,17,17,17,17,18,19,19,19,20,21,22,23,23,24,25,26,27,28,28,29,18,18,18,18,19,20,20,20,21,22,23,24,24,25,26,27,28,29,29,30,19,19,19,19,20,21,21,21,22,22,23,24,25,26,27,28,29,30,30,31
1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,15,16,17,18,3,2,3,4,5,6,7,8,9,10,11,12,13,14,15,15,16,17,18,19,4,3,4,5,6,7,8,9,9,10,11,12,13,14,15,16,17,18,19,20,5,4,5,6,7,8,9,10,10,11,12,12,13,14,15,16,17,18,19,20,6,5,5,6,7,8,9,10,11,12,13,13,14,15,16,17,18,19,20,21,7,6,6,7,8,9,10,11,11,12,13,14,15,16,17,18,19,20,21,22,8,7,7,8,9,10,11,12,12,12,13,14,15,16,17,18,19,20,21,22,9,8,8,9,10,11,12,13,13,13,14,15,16,17,18,18,19,20,21,22,10,9,9,10,11,12,13,14,14,14,15,16,17,18,19,19,19,20,21,22,11,10,10,11,12,13,14,15,15,15,16,17,18,19,20,20,20,21,22,22,12,11,11,12,13,14,14,15,16,16,17,18,19,20,21,21,21,22,23,23,13,12,12,12,13,14,15,16,16,17,17,18,19,20,21,22,22,23,24,24,14,13,13,13,14,15,16,17,17,18,18,19,20,21,22,23,23,24,25,25,15,14,14,14,15,16,16,17,18,19,19,20,21,22,23,24,24,25,25,26,16,15,15,15,16,17,17,18,19,20,20,21,22,23,24,25,25,26,26,27,17,16,16,16,17,18,18,18,19,20,21,22,22,23,24,25,26,27,27,28,18,17,17,17,18,19,19,19,20,21,22,23,23,24,25,26,27,28,28,29,19,18,18,18,19,20,20,20,21,22,23,24,24,25,26,27,28,29,29,30,20,19,19,19,20,21,21,21,22,22,23,24,25,26,27,28,29,30,30,31
2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,3,2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,14,15,16,17,4,3,2,3,4,5,6,7,8,9,10,11,12,13,14,14,15,16,17,18,5,4,3,4,5,6,7,8,8,9,10,11,12,13,14,15,16,17,18,19,6,5,4,5,6,7,8,9,9,10,11,11,12,13,14,15,16,17,18,19,7,6,5,6,7,8,9,10,10,11,12,12,13,14,15,16,17,18,19,20,8,7,6,7,8,9,10,11,11,12,13,13,14,15,16,17,18,19,20,21,9,8,7,8,9,10,11,12,12,12,13,14,14,15,16,17,18,19,20,21,10,9,8,9,10,11,12,13,13,13,14,15,15,16,17,17,18,19,20,21,11,10,9,10,11,12,13,14,14,14,15,16,16,17,18,18,18,19,20,21,12,11,10,11,12,13,14,15,15,15,16,17,17,18,19,19,19,20,21,21,13,12,11,12,13,14,14,15,16,16,17,18,18,19,20,20,20,21,22,22,14,13,12,12,13,14,15,16,16,17,17,18,19,20,21,21,21,22,23,23,15,14,13,13,14,15,16,17,17,18,18,19,20,21,22,22,22,23,24,24,16,15,14,14,15,16,16,17,18,19,19,20,21,22,23,23,23,24,24,25,17,16,15,15,16,17,17,18,19,20,20,21,22,23,24,24,24,25,25,26,18,17,16,16,17,18,18,18,19,20,21,22,22,23,24,25,25,26,26,27,19,18,17,17,18,19,19,19,20,21,22,23,23,24,25,26,26,27,27,28,20,19,18,18,19,20,20,20,21,22,23,24,24,25,26,27,27,28,28,29,21,20,19,19,20,21,21,21,22,22,23,24,25,26,27,28,28,29,29,30
3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,4,3,2,1,2,3,4,5,6,7,8,9,10,11,12,13,13,14,15,16,5,4,3,2,3,4,5,6,7,8,9,10,11,12,13,13,14,15,16,17,6,5,4,3,4,5,6,7,7,8,9,10,11,12,13,14,15,16,17,18,7,6,5,4,5,6,7,8,8,9,10,10,11,12,13,14,15,16,17,18,8,7,6,5,6,7,8,9,9,10,11,11,12,13,14,15,16,17,18,19,9,8,7,6,7,8,9,10,10,11,12,12,13,14,15,16,17,18,19,20,10,9,8,7,8,9,10,11,11,11,12,13,13,14,15,16,17,18,19,20,11,10,9,8,9,10,11,12,12,12,13,14,14,15,16,16,17,18,19,20,12,11,10,9,10,11,12,13,13,13,14,15,15,16,17,17,17,18,19,20,13,12,11,10,11,12,13,14,14,14,15,16,16,17,18,18,18,19,20,20,14,13,12,11,12,13,13,14,15,15,16,17,17,18,19,19,19,20,21,21,15,14,13,12,13,14,14,15,15,16,16,17,18,19,20,20,20,21,22,22,16,15,14,13,14,15,15,16,16,17,17,18,19,20,21,21,21,22,23,23,17,16,15,14,15,16,16,17,17,18,18,19,20,21,22,22,22,23,23,24,18,17,16,15,16,17,17,18,18,19,19,20,21,22,23,23,23,24,24,25,19,18,17,16,17,18,18,18,19,20,20,21,21,22,23,24,24,25,25,26,20,19,18,17,18,19,19,19,20,21,21,22,22,23,24,25,25,26,26,27,21,20,19,18,19,20,20,20,21,22,22,23,23,24,25,26,26,27,27,28,22,21,20,19,20,21,21,21,22,22,23,24,24,25,26,27,27,28,28,29
4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,5,4,3,2,1,2,3,4,5,6,7,8,9,10,11,12,12,13,14,15,6,5,4,3,2,3,4,5,6,7,8,9,10,11,12,12,13,14,15,16,7,6,5,4,3,4,5,6,6,7,8,9,10,11,12,13,14,15,16,17,8,7,6,5,4,5,6,7,7,8,9,9,10,11,12,13,14,15,16,17,9,8,7,6,5,6,7,8,8,9,10,10,11,12,13,14,15,16,17,18,10,9,8,7,6,7,8,9,9,10,11,11,12,13,14,15,16,17,18,19,11,10,9,8,7,8,9,10,10,10,11,12,12,13,14,15,16,17,18,19,12,11,10,9,8,9,10,11,11,11,12,13,13,14,15,15,16,17,18,19,13,12,11,10,9,10,11,12,12,12,13,14,14,15,16,16,16,17,18,19,14,13,12,11,10,11,12,13,13,13,14,15,15,16,17,17,17,18,19,19,15,14,13,12,11,12,12,13,14,14,15,16,16,17,18,18,18,19,20,20,16,15,14,13,12,13,13,14,14,15,15,16,17,18,19,19,19,20,21,21,17,16,15,14,13,14,14,15,15,16,16,17,18,19,20,20,20,21,22,22,18,17,16,15,14,15,15,16,16,17,17,18,19,20,21,21,21,22,22,23,19,18,17,16,15,16,16,17,17,18,18,19,20,21,22,22,22,23,23,24,20,19,18,17,16,17,17,17,18,19,19,20,20,21,22,23,23,24,24,25,21,20,19,18,17,18,18,18,19,20,20,21,21,22,23,24,24,25,25,26,22,21,20,19,18,19,19,19,20,21,21,22,22,23,24,25,25,26,26,27,23,22,21,20,19,20,20,20,21,21,22,23,23,24,25,26,26,27,27,28
5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,6,5,4,3,2,3,2,3,4,5,6,7,8,9,10,11,11,12,13,14,7,6,5,4,3,4,3,4,5,6,7,8,9,10,11,11,12,13,14,15,8,7,6,5,4,5,4,5,5,6,7,8,9,10,11,12,13,14,15,16,9,8,7,6,5,6,5,6,6,7,8,8,9,10,11,12,13,14,15,16,10,9,8,7,6,7,6,7,7,8,9,9,10,11,12,13,14,15,16,17,11,10,9,8,7,8,7,8,8,9,10,10,11,12,13,14,15,16,17,18,12,11,10,9,8,9,8,9,9,9,10,11,11,12,13,14,15,16,17,18,13,12,11,10,9,10,9,10,10,10,11,12,12,13,14,14,15,16,17,18,14,13,12,11,10,11,10,11,11,11,12,13,13,14,15,15,15,16,17,18,15,14,13,12,11,12,11,12,12,12,13,14,14,15,16,16,16,17,18,18,16,15,14,13,12,13,12,13,13,13,14,15,15,16,17,17,17,18,19,19,17,16,15,14,13,14,13,14,14,14,14,15,16,17,18,18,18,19,20,20,18,17,16,15,14,15,14,15,15,15,15,16,17,18,19,19,19,20,21,21,19,18,17,16,15,16,15,16,16,16,16,17,18,19,20,20,20,21,21,22,20,19,18,17,16,17,16,17,17,17,17,18,19,20,21,21,21,22,22,23,21,20,19,18,17,18,17,17,18,18,18,19,19,20,21,22,22,23,23,24,22,21,20,19,18,19,18,18,19,19,19,20,20,21,22,23,23,24,24,25,23,22,21,20,19,20,19,19,20,20,20,21,21,22,23,24,24,25,25,26,24,23,22,21,20,21,20,20,21,21,21,22,22,23,24,25,25,26,26,27
6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,7,6,5,4,3,2,1,2,3,4,5,6,7,8,9,10,10,11,12,13,8,7,6,5,4,3,2,3,4,5,6,7,8,9,10,10,11,12,13,14,9,8,7,6,5,4,3,4,4,5,6,7,8,9,10,11,12,13,14,15,10,9,8,7,6,5,4,5,5,6,7,7,8,9,10,11,12,13,14,15,11,10,9,8,7,6,5,6,6,7,8,8,9,10,11,12,13,14,15,16,12,11,10,9,8,7,6,7,7,8,9,9,10,11,12,13,14,15,16,17,13,12,11,10,9,8,7,8,8,8,9,10,10,11,12,13,14,15,16,17,14,13,12,11,10,9,8,9,9,9,10,11,11,12,13,13,14,15,16,17,15,14,13,12,11,10,9,10,10,10,11,12,12,13,14,14,14,15,16,17,16,15,14,13,12,11,10,11,11,11,12,13,13,14,15,15,15,16,17,17,17,16,15,14,13,12,11,12,12,12,13,14,14,15,16,16,16,17,18,18,18,17,16,15,14,13,12,13,13,13,13,14,15,16,17,17,17,18,19,19,19,18,17,16,15,14,13,14,14,14,14,15,16,17,18,18,18,19,20,20,20,19,18,17,16,15,14,15,15,15,15,16,17,18,19,19,19,20,20,21,21,20,19,18,17,16,15,16,16,16,16,17,18,19,20,20,20,21,21,22,22,21,20,19,18,17,16,16,17,17,17,18,18,19,20,21,21,22,22,23,23,22,21,20,19,18,17,17,18,18,18,19,19,20,21,22,22,23,23,24,24,23,22,21,20,19,18,18,19,19,19,20,20,21,22,23,23,24,24,25,25,24,23,22,21,20,19,19,20,20,20,21,21,22,23,24,24,25,25,26
7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,8,7,6,5,4,3,2,1,2,3,4,5,6,7,8,9,9,10,11,12,9,8,7,6,5,4,3,2,3,4,5,6,7,8,9,9,10,11,12,13,10,9,8,7,6,5,4,3,3,4,5,6,7,8,9,10,11,12,13,14,11,10,9,8,7,6,5,4,4,5,6,6,7,8,9,10,11,12,13,14,12,11,10,9,8,7,6,5,5,6,7,7,8,9,10,11,12,13,14,15,13,12,11,10,9,8,7,6,6,7,8,8,9,10,11,12,13,14,15,16,14,13,12,11,10,9,8,7,7,7,8,9,9,10,11,12,13,14,15,16,15,14,13,12,11,10,9,8,8,8,9,10,10,11,12,12,13,14,15,16,16,15,14,13,12,11,10,9,9,9,10,11,11,12,13,13,13,14,15,16,17,16,15,14,13,12,11,10,10,10,11,12,12,13,14,14,14,15,16,16,18,17,16,15,14,13,12,11,11,11,12,13,13,14,15,15,15,16,17,17,19,18,17,16,15,14,13,12,12,12,12,13,14,15,16,16,16,17,18,18,20,19,18,17,16,15,14,13,13,13,13,14,15,16,17,17,17,18,19,19,21,20,19,18,17,16,15,14,14,14,14,15,16,17,18,18,18,19,19,20,22,21,20,19,18,17,16,15,15,15,15,16,17,18,19,19,19,20,20,21,23,22,21,20,19,18,17,16,16,16,16,17,17,18,19,20,20,21,21,22,24,23,22,21,20,19,18,17,17,17,17,18,18,19,20,21,21,22,22,23,25,24,23,22,21,20,19,18,18,18,18,19,19,20,21,22,22,23,23,24,26,25,24,23,22,21,20,19,19,19,19,20,20,21,22,23,23,24,24,25
8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,9,8,7,6,5,4,3,2,1,2,3,4,5,6,7,8,8,9,10,11,10,9,8,7,6,5,4,3,2,3,4,5,6,7,8,8,9,10,11,12,11,10,9,8,7,6,5,4,3,4,5,6,7,8,9,9,10,11,12,13,12,11,10,9,8,7,6,5,4,5,6,6,7,8,9,10,11,11,12,13,13,12,11,10,9,8,7,6,5,6,7,7,8,9,10,11,12,12,13,14,14,13,12,11,10,9,8,7,6,7,8,8,9,10,11,12,13,13,14,15,15,14,13,12,11,10,9,8,7,7,8,9,9,10,11,12,13,14,15,15,16,15,14,13,12,11,10,9,8,8,9,10,10,11,12,12,13,14,15,16,17,16,15,14,13,12,11,10,9,9,10,11,11,12,13,13,13,14,15,16,18,17,16,15,14,13,12,11,10,10,11,12,12,13,14,14,14,15,16,16,19,18,17,16,15,14,13,12,11,11,12,13,13,14,15,15,15,16,17,17,20,19,18,17,16,15,14,13,12,12,12,13,14,15,16,16,16,17,18,18,21,20,19,18,17,16,15,14,13,13,13,14,15,16,17,17,17,18,19,19,22,21,20,19,18,17,16,15,14,14,14,15,16,17,18,18,18,19,19,20,23,22,21,20,19,18,17,16,15,15,15,16,17,18,19,19,19,20,20,21,24,23,22,21,20,19,18,17,16,16,16,17,17,18,19,20,20,21,21,22,25,24,23,22,21,20,19,18,17,17,17,18,18,19,20,21,21,22,22,23,26,25,24,23,22,21,20,19,18,18,18,19,19,20,21,22,22,23,23,24,27,26,25,24,23,22,21,20,19,19,19,20,20,21,22,23,23,24,24,25
9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,10,9,8,7,6,5,4,3,2,1,2,3,4,5,6,7,7,8,9,10,11,10,9,8,7,6,5,4,3,2,3,4,5,6,7,7,8,9,10,11,12,11,10,9,8,7,6,5,4,3,4,5,6,7,8,8,9,10,11,12,13,12,11,10,9,8,7,6,5,4,5,5,6,7,8,9,10,10,11,12,14,13,12,11,10,9,8,7,6,5,6,6,7,8,9,10,11,11,12,13,15,14,13,12,11,10,9,8,7,6,7,7,8,9,10,11,12,12,13,14,16,15,14,13,12,11,10,9,8,7,8,8,8,9,10,11,12,13,14,14,17,16,15,14,13,12,11,10,9,8,9,9,9,10,11,11,12,13,14,15,18,17,16,15,14,13,12,11,10,9,10,10,10,11,12,12,12,13,14,15,19,18,17,16,15,14,13,12,11,10,11,11,11,12,13,13,13,14,15,15,20,19,18,17,16,15,14,13,12,11,12,12,12,13,14,14,14,15,16,16,21,20,19,18,17,16,15,14,13,12,12,13,13,14,15,15,15,16,17,17,22,21,20,19,18,17,16,15,14,13,13,14,14,15,16,16,16,17,18,18,23,22,21,20,19,18,17,16,15,14,14,15,15,16,17,17,17,18,18,19,24,23,22,21,20,19,18,17,16,15,15,16,16,17,18,18,18,19,19,20,25,24,23,22,21,20,19,18,17,16,16,17,17,18,19,19,19,20,20,21,26,25,24,23,22,21,20,19,18,17,17,18,18,19,20,20,20,21,21,22,27,26,25,24,23,22,21,20,19,18,18,19,19,20,21,21,21,22,22,23,28,27,26,25,24,23,22,21,20,19,19,20,20,21,22,22,22,23,23,24
