0,0,1,2,0,1,1,6,4,5,5,7,8,9,10,11
1,1,1,2,0,1,1,6,4,5,5,7,8,9,10,11
1,2,2,2,0,1,2,3,4,5,6,7,8,9,10,11
1,2,3,3,0,1,2,3,4,5,6,7,8,9,10,11
4,0,1,2,4,4,5,6,4,5,5,10,8,9,10,11
1,5,1,2,5,5,5,6,4,5,5,10,8,9,10,11
1,6,6,2,5,6,6,6,4,5,6,7,8,9,10,11
1,6,3,7,5,6,7,7,4,5,6,7,8,9,10,11
4,0,1,2,8,4,5,6,8,8,9,10,8,9,10,11
1,5,1,2,5,9,5,6,9,9,9,10,8,9,10,11
1,5,6,2,5,10,10,6,9,10,10,10,8,9,10,11
1,6,3,7,5,10,7,11,9,10,11,11,8,9,10,11
4,0,1,2,8,4,5,6,12,8,9,10,12,12,13,14
1,5,1,2,5,9,5,6,9,13,9,10,13,13,13,14
1,5,6,2,5,10,10,6,9,10,14,10,13,14,14,14
1,6,3,7,5,10,7,11,9,10,11,15,13,14,15,15
